ID,Case,Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
59208,4760510,HL484783,07/15/2005 01:55:00 AM,057XX S MARYLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING/GROUNDS,False,True,2133,2,5,41,08B,1182884,1867166,2005,04/15/2016 08:55:02 AM,41.790707994,-87.604942346,"(41.790707994, -87.604942346)"
39205,4848375,HL487626,07/15/2005 03:45:00 PM,050XX W CHICAGO AVE,620,BURGLARY,UNLAWFUL ENTRY,OTHER,False,False,1531,15,28,25,5,,,2005,08/17/2015 03:03:40 PM,,,
49086,4864054,HM477788,07/15/2005 06:41:00 PM,064XX W IRVING PARK RD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1632,16,38,17,6,,,2005,08/17/2015 03:03:40 PM,,,
21417,4704876,HM309919,07/15/2005 12:00:00 PM,029XX N RIDGEWAY AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2523,25,35,21,6,1150950,1919234,2005,04/15/2016 08:55:02 AM,41.934271458,-87.720674825,"(41.934271458, -87.720674825)"
40242,4731737,HM340351,07/15/2005 12:01:00 AM,030XX N CLARK ST,1120,DECEPTIVE PRACTICE,FORGERY,SMALL RETAIL STORE,False,False,2332,19,44,6,10,1170665,1920334,2005,04/15/2016 08:55:02 AM,41.936880447,-87.648190373,"(41.936880447, -87.648190373)"
58482,4879184,HM485141,07/19/2005 08:45:00 AM,040XX W 79TH ST,860,THEFT,RETAIL THEFT,GAS STATION,False,False,834,8,13,70,6,,,2005,08/17/2015 03:03:40 PM,,,
56602,4876475,HM488618,07/20/2005 08:00:00 PM,049XX N MARINE DR,460,BATTERY,SIMPLE,PARK PROPERTY,False,False,2024,20,48,3,08B,,,2005,08/17/2015 03:03:40 PM,,,
18289,4815507,HM428294,07/20/2005 12:00:00 AM,031XX W CERMAK RD,820,THEFT,$500 AND UNDER,GAS STATION,False,False,1022,10,24,30,6,,,2005,08/17/2015 03:03:40 PM,,,
64732,4889347,HM488964,07/21/2005 12:30:00 AM,011XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,733,7,17,68,14,,,2005,08/17/2015 03:03:40 PM,,,
28549,4715518,HL501040,07/22/2005 03:41:00 PM,092XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,634,6,6,49,14,1178332,1843832,2005,04/15/2016 08:55:02 AM,41.726781501,-87.622340416,"(41.726781501, -87.622340416)"
59848,4881224,HM495500,07/24/2005 09:00:00 AM,066XX S DAMEN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,726,7,15,67,26,,,2005,08/17/2015 03:03:40 PM,,,
62439,4885500,HM498505,07/25/2005 02:00:00 PM,041XX N KEYSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1722,17,39,16,14,,,2005,08/17/2015 03:03:40 PM,,,
23322,4708106,HL506022,07/25/2005 04:59:11 AM,060XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,True,False,2133,2,20,42,14,1183487,1865156,2005,04/15/2016 08:55:02 AM,41.78517834,-87.602793941,"(41.78517834, -87.602793941)"
28553,4715522,HL507721,07/25/2005 07:53:00 PM,083XX S RACINE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,613,6,21,71,6,1169772,1849586,2005,04/15/2016 08:55:02 AM,41.742761034,-87.65353015,"(41.742761034, -87.65353015)"
61785,4884504,HM499242,07/25/2005 10:15:00 PM,021XX N SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1413,14,26,22,14,,,2005,08/17/2015 03:03:40 PM,,,
62736,4886003,HL505818,07/25/2005 12:11:00 AM,024XX N MILWAUKEE AVE,810,THEFT,OVER $500,STREET,False,False,1414,14,35,22,6,,,2005,08/17/2015 03:03:40 PM,,,
